PRODUK,FARMASI,E-COMMERCE,TOKO,ALAMAT,KOTA,BOX,JUAL (UNIT TERKECIL),HARGA UNIT TERKECIL,VALUE,% DISC,KATEGORI,SOURCE,NAMA PRODUK E-COMMERCE,RATING (Khusus shopee dan toped dikali 20),JML ULASAN,DILIHAT,DESKRIPSI,TANGGAL OBSERVASI
,,BUKALAPAK,Buzper,,Jakarta Pusat,,2,14000.0,,,"Super Seller 
Recommended Seller ",https://www.bukalapak.com/p/industrial/safety/masker/3r427hc-jual-masker-hijab-headloop-kain-anti-polusi-rewashable-1-pcs,Masker Hijab Headloop Kain Anti Polusi Rewashable 1 PCS,5.0,1,,"Ready Hitam dan Putih



Masker hijab kain anti polusi ini menggunakan beberapa lapisan layer filter yang efektif melindungi Anda dari debu, asap dan serangan micro organisme. Sangat cocok digunakan saat berkendara motor menghindari debu jalanan yang dapat merusak paru-paru Anda.

Kenapa anda harus membeli produk ini?



Half Face Cover

Masker filter udara ini dapat menutupi hidung dan mulut Anda dari debu, asap dan bakteri dengan sangat baik, juga terdapat aluminum sheet yang pas dengan bentuk hidung Anda. Bentuk yang ergonomis mengikuti lekuk wajah membuat masker ini tidak gampang melorot berbeda dengan masker bedah yang tidak memiliki bentuk lekukan wajah.



Anti Pollution Filter

Masker headloop anti polusi ini menggunakan filter anti polusi sehingga dapat secara ampuh melindungi Anda dari debu, asap dan serangan bakteri hingga 95%.



Rewashable Mask

Berbeda dengan masker bedah yang hanya sekali pakai, Masker anti polusi yang satu ini dapat digunakan berkali-kali dengan cara di cuci menggunakan menggunakan air dengan suhu maksimal 40 derajat.



Headloop Model

Masker kain anti polusi ini menggunakan tali pengikat pada bagian kepala. Model ini lebih praktis digunakan bila Anda menggunakan hijab. Bisa juga digunakan untuk pria.





Barang-barang yang Anda dapat dalam kotak produk:

1 x Sritex Masker Hijab Kain 1 PCS



**Mohon tanyakan stok terlebih dahulu sebelum order

**Claim Garansi harus menyertakan box dan nota pembelian asli, garansi dihitung setelah tanggal pembelian



7RHR4SBK",2020-10-26 09:30:43
,,BUKALAPAK,Buzper,,Jakarta Pusat,,,358000.0,,,"Super Seller 
Recommended Seller ",https://www.bukalapak.com/p/industrial/safety/masker/3ci0afc-jual-masker-gas-acid-full-face-3m-6800-no-7,Masker Gas Acid Full Face 3M - 6800 no.7,,,,"Masker dengan model full face yang berfungsi untuk melindungi diri anda dari terkontaminasi zat gas seperti sulfur dioxide, chlorine, hydrogen sulfide, hydrogen fluoride, chlorine, gasification of phosgene, phosphorus dan organic chlorine pesticides. Sangat cocok digunakan oleh anda yang memiliki profesi terkait bidang pekerjaan yang berhubungan dengan zat-zat tersebut.



Features



High Protection

Masker penutup wajah ini membantu memberikan perlindungan terhadap partikular berbahaya dan berbagai gas ataupun uap yang kemungkinan besar terhirup pada saat anda berada di lingkungan kerja ataupun lingkungan yang memiliki udara rawan kontaminasi.



Full Face Design

Memiliki desain menutupi seluruh wajah, melindungi seluruh bagian depan wajah agar terhindar dari efek kontaminasi yang mungkin terjadi pada saat bekerja.



Cold Breathing Valve

Filter penyaring udara memberikan sirkulasi udara yang bersih untuk anda hirup dan membuang udara yang dikeluarkan dengan baik.



Adjustable Strap

Strap yang elastis dan dapat disesuaikan dengan kenyamanan pemakainya.



Package Content

Barang-Barang yang Anda dapatkan dari dalam kotak produk:



1 x 3M Masker Gas Acid Full Face - 6800 no.7

2 x Cartridge

2 x Filter





OMOTAEXX",2020-10-26 09:30:49
,,BUKALAPAK,KANAYASHOP12,,Tangerang,,105,125000.0,,,,https://www.bukalapak.com/p/industrial/safety/masker/3a1y16m-jual-masker-batik-3-ply-lapis-nyaman-di-pakai-1-lusin-12-pcs,Masker Batik 3 Ply Lapis - Nyaman Di Pakai - 1 Lusin 12 Pcs,4.9,14,,"Masker Batik 3 Lapis / 3 Ply



Harga tercantum untuk per 12 pcs ya kak..



Masker kain motif batik. Masker ini 3 lapis / 3 Ply

Mari beralih ke Masker kain ini, kualitasnya bagus harga murmer dilengkapi dengan berbagai macam motif yg keren dan trendy.

Demi keamanan kita semua ayo pakai masker kain biar lebih hemat dan tetep aman dari penyakit ya.

Bisa dipakai sekeluarga dan untuk teman2 terdekat jg.

Ayoo buruan diorder guyss!!



CATATAN : (Mohon dibaca sebelum membeli ya)

Barang dikirim kan random ya kak ( karna permintaan tinggi dan stok terbatas )



Mohon pengertiannya ya calon2 pembeli",2020-10-26 09:30:52
,,BUKALAPAK,DToys Store,,Jakarta Utara,,96,5250.0,,,"Super Seller 
Good Seller ",https://www.bukalapak.com/p/industrial/safety/masker/3lxp5yb-jual-face-shield-kacamata-anak-karakter,Face Shield Kacamata Anak Karakter,4.7,20,,"Keterangan Produk :
1 Frame 1 Mika = 1 Frame/ Gagang Kacamata + 1 Mika Asli ( TIDAK TERMASUK LENSA NYA )
UNTUK KACAMATA SEKARANG BUKAN BULAT YA KAK!!!
Ready Karakter :
Hello kitty2.Disney3.LOL4.Barbie5.Frozen
JIKA TIDAK ADA KARAKTER DIATAS KAMI KIRIM RANDOM,MOHON SMART BUYER . terima kasih.
Ukuran Mika :
-- Panjang : 15 cm
-- Lebar : 25 cm
Motif Anak anak terbagi :",2020-10-26 09:30:55
,,BUKALAPAK,Yandi Sopian,,Tangerang,,289,5900.0,,,,https://www.bukalapak.com/p/industrial/safety/masker/3klcdtu-jual-masker-sritex-headloop-masker-hijab-masker-kain-2-ply-anti-air-dan-microbial,Masker Sritex headloop masker hijab masker kain 2 ply anti air dan microbial,4.9,15,,"BARANG SELALU READY...



Masker Produk Original 100% Anti Microbial dan Anti Air dari pabrik Sritex, edisi Hijab Headloop.



Keunggulan :

Terstandar Nasional

Teruji Laboratorium

Anti Microbial (bagian dalam) : Mampu menangkal dan mencegah bakteri dan virus dengan standar nasional dan uji lab

Anti Air (bagian depan) : Air tidak terserap ke dalam kain, seperti halnya air di atas daun talas. Ini sangat berguna untuk menghindari small droplet atau percikan air ludah atau bersin dari orang lain, video bisa request

Teruji tiup api, angin tidak memadamkan api ketika menggunakan masker

bahan dari katun, sangat aman dan nyaman digunakan siapa saja

Karet sangat lentur, tidak mudah membuat daun telinga merasakan sakit

dapat dicuci, pencucian optimal anti microbial optimal sampai 10 kali pencucian



Proses pencucian dan setrika :

- Jangan Menggunakan Pemutih

- rendam dalam air hangat 40C

- setrika dengan tingkat panas medium



Lindungi Anda dan Keluarga dari bakteri dan Virus dengan Masker Antimicrobial ini.",2020-10-26 09:30:59
,,BUKALAPAK,Keep Moving,,Jakarta Barat,,1,25999.0,,,"Super Seller 
Recommended Seller ",https://www.bukalapak.com/p/industrial/safety/masker/3vnorr6-jual-masker-3-ply-50pcs-earloop-non-medis-disposable-face-mask-anti-virus,Masker 3 Ply 50pcs Earloop Non Medis Disposable Face Mask Anti Virus,,,,"Deskripsi Masker 3 Ply 50pcs Earloop Non Medis Disposable Face Mask Anti Virus
Deskripsi Masker 3 Ply 50pcs Earloop Non Medis Disposable Face Mask Anti Virus
(Kalo dus rusak setelah barang di terima, silakan klaim ke jasa kurir nya)
Supaya lebih aman, cara pengiriman kadang kami unboxing ( box di lipat )
MASKER 3 PLY (3 Lapis)
1 Box = Isi 50pcs
Warna Biru Only
Masker 3 Ply Earloop (steril ada plastik dalam setiap box)
Tekstur berpori pada masker sehingga membuat pernafasan lebih lega",2020-10-26 09:31:04
,,BUKALAPAK,Se7enSave,,Jakarta Barat,,,36000.0,,0.12,,https://www.bukalapak.com/p/industrial/safety/masker/3s41g40-jual-masker-anti-polusi-virus-debu-asap-kn95-earloop-1-pcs-recommended-ts792-original-xiaomi-purely,Masker Anti Polusi Virus Debu & Asap KN95 Earloop 1 pcs Recommended TS792 - Original Xiaomi Purely,,,,"Produk Original,Berkualitas !! RECOMMENDED
Merek : Xiaomi Purely Original
Catatan : Sebelum Di Kirim Barang Di Test Dan Cek
Garansi Produk : 1 Hari
Note : Untuk Claim Garansi Sertakan Box Label Dan Box Produk Jika Box Produk Dan Label Cacat/Hilang Maka Claim Garansi Tidak Dapat Digunakan
Tersedia Warna
Putih
Note: Terdapat besi pada bagian hidung.
Masker Xiaomi Purely ini menggunakan beberapa lapisan layer filter yang efektif melindungi Anda dari debu, asap, serangan micro organisme dan virus. Sangat cocok digunakan saat berkendara motor menghindari debu jalanan yang dapat merusak paru-paru Anda, Dapat juga digunakan untuk melindungi diri dari virus corona covid-19 yang tengah merebak saat ini.",2020-10-26 09:31:12
,,BUKALAPAK,Se7enSave,,Jakarta Barat,,1,64000.0,,0.2,,https://www.bukalapak.com/p/industrial/safety/masker/3stqipm-jual-masker-gas-udara-polusi-kimia-debu-asap-recommended-usc89-original-999,Masker Gas Udara Polusi Kimia Debu & Asap Recommended USC89 - Original 999,,,,"Produk Original,Berkualitas !! RECOMMENDED
Merek : Powecom Original
Catatan : Sebelum Di Kirim Barang Di Test Dan Cek
Garansi Produk : 1 Hari
Note : Untuk Claim Garansi Sertakan Box Label Dan Box Produk Jika Box Produk Dan Label Cacat/Hilang Maka Claim Garansi Tidak Dapat Digunakan
Tersedia Warna
Gray
Masker gas untuk melindungi diri Anda dari gasoline, benzene, organic vapor, carbon disculfide, dust, acetone, ether dan produk kimia lainnya, mencegah kanker dan membuat kesehatan Anda tetap terjaga dan tetap dapat bekerja secara profesional.",2020-10-26 09:31:19
,,BUKALAPAK,Se7enSave,,Jakarta Barat,,3,121000.0,,0.27,,https://www.bukalapak.com/p/industrial/safety/masker/3s447vy-jual-masker-medis-filter-udara-polusi-virus-debu-asap-3-ply-50pcs-bcm89-original-999,Masker Medis Filter Udara Polusi Virus Debu & Asap 3-ply 50pcs BCM89 - Original 999,,,,"Produk Original,Berkualitas !! RECOMMENDED
Merek : YAJIE Original
Catatan : Sebelum Di Kirim Barang Di Test Dan Cek
Garansi Produk : 1 Hari
Note : Untuk Claim Garansi Sertakan Box Label Dan Box Produk Jika Box Produk Dan Label Cacat/Hilang Maka Claim Garansi Tidak Dapat Digunakan
Tersedia Warna
Biru
Note: Bulk Packing, tanpa kotak.
Masker udara ini menutupi setengah wajah Anda. Masker ini merupakan tipe masker bedah yang dapat efektif melindungi Anda dari serangan micro organisme dan virus. Sangat cocok digunakan untuk berkendara motor menghindari debu jalanan yang dapat merusak paru-paru Anda, Dapat juga digunakan untuk melindungi diri dari virus corona.",2020-10-26 09:31:22
,,BUKALAPAK,Se7enSave,,Jakarta Barat,,,45000.0,,0.15,,https://www.bukalapak.com/p/industrial/safety/masker/3s43dm3-jual-masker-anti-polusi-virus-debu-asap-kn95-headloop-1pcs-tc782-original-999,Masker Anti Polusi Virus Debu & Asap KN95 Headloop 1pcs TC782 - Original 999,,,,"Produk Original,Berkualitas !! RECOMMENDED
Merek : Xiaomi Purely Original
Catatan : Sebelum Di Kirim Barang Di Test Dan Cek
Garansi Produk : 1 Hari
Note : Untuk Claim Garansi Sertakan Box Label Dan Box Produk Jika Box Produk Dan Label Cacat/Hilang Maka Claim Garansi Tidak Dapat Digunakan
Tersedia Warna
Putih
Masker Xiaomi Purely ini menggunakan beberapa lapisan layer filter yang efektif melindungi Anda dari debu, asap, serangan micro organisme dan virus. Sangat cocok digunakan saat berkendara motor menghindari debu jalanan yang dapat merusak paru-paru Anda, Dapat juga digunakan untuk melindungi diri dari virus corona covid-19 yang tengah merebak saat ini.",2020-10-26 09:31:26
